City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
武威,78,29,104,0.35,12,122,52,5
无锡,93,69,98,0.81,31,134,76,13
吴忠,89,44,126,0.37,30,69,31,32
梧州,64,45,61,0.75,15,120,54,9
厦门,52,32,51,0.6,16,118,90,8
西安,237,186,249,1.77,95,95,38,26
湘潭,57,24,62,0.67,22,130,82,13
湘西州,67,42,81,0.2,24,103,39,11
襄阳,94,70,98,0.83,19,118,61,19
咸宁,51,22,35,1.13,6,126,100,2
咸阳,246,195,266,1.53,71,116,42,28
孝感,63,42,74,0.65,15,121,64,12
锡林郭勒盟,50,11,49,1.6,3,90,57,13
兴安盟,48,33,38,0.57,7,103,93,11
邢台,213,162,278,1.5,50,130,73,24
西宁,73,49,93,1.08,19,120,58,18
新乡,227,176,252,2.68,60,159,62,37
信阳,70,38,72,0.73,15,154,122,15
新余,67,34,81,0.44,9,122,65,6
忻州,138,105,165,1.5,63,82,34,111
西双版纳州,40,21,39,0.6,6,102,55,8
宣城,61,43,66,0.73,25,90,59,16
许昌,88,65,83,0.7,16,136,92,13
徐州,110,82,117,0.67,24,136,69,15
雅安,87,64,94,0.68,18,87,55,21
延安,67,38,81,1.08,37,118,55,23
延边州,39,14,38,0.6,12,103,71,14
盐城,108,80,126,0.76,26,119,72,15
阳江,54,29,55,0.83,12,158,92,13
阳泉,129,70,206,0.9,15,124,62,13
扬州,88,65,104,1.0,21,110,62,19
烟台,87,58,121,0.97,37,79,67,20
宜宾,76,55,100,0.82,24,153,63,25
宜昌,121,91,145,1.16,35,96,42,13
宜春,61,43,70,0.56,12,123,62,14
伊春,37,11,16,0.27,3,91,73,8
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,56,25,60,0.77,14,85,41,12
银川,63,29,74,0.76,25,103,63,63
营口,58,40,62,0.57,17,118,96,10
鹰潭,52,26,52,0.5,22,118,64,19
义乌,58,40,52,0.55,19,147,75,10
宜兴,104,77,120,1.15,42,112,78,16
益阳,54,20,56,1.26,17,122,77,10
永州,48,24,47,0.45,15,128,72,9
岳阳,58,30,64,0.6,9,124,85,8
玉林,64,39,75,0.83,21,130,60,22
榆林,64,31,76,1.08,34,106,46,16
运城,195,146,225,1.38,25,143,62,58
云浮,54,34,55,0.57,23,140,68,16
玉树州,31,7,14,0.6,4,96,60,4
玉溪,53,32,53,0.87,14,108,67,9
枣庄,113,84,159,1.18,33,130,76,34
张家港,89,66,99,0.6,37,122,78,9
张家界,58,22,63,0.83,21,119,69,7
张家口,79,13,106,0.94,18,104,78,13
章丘,106,79,138,1.0,18,131,103,24
张掖,56,21,60,0.35,10,106,54,7
漳州,66,47,76,0.63,31,142,77,10
湛江,75,28,46,0.68,14,179,124,9
肇庆,55,36,57,0.65,27,122,66,19
昭通,54,29,55,0.6,9,125,96,7
招远,100,75,139,1.35,75,59,41,21
郑州,188,141,176,1.13,55,86,34,18
镇江,77,56,85,0.57,24,122,70,8
中山,54,31,55,0.53,23,139,70,9
中卫,93,68,134,0.97,30,99,50,49
周口,72,50,91,0.6,18,142,95,11
舟山,65,46,78,0.83,33,123,66,12
珠海,50,29,49,0.63,35,115,78,8
诸暨,45,31,37,0.9,6,142,76,7
驻马店,65,43,77,0.9,35,146,83,18
株洲,60,23,67,0.42,17,129,77,12
淄博,127,96,146,1.32,34,143,96,21
自贡,85,62,93,0.55,20,154,85,16
资阳,64,31,75,0.36,11,125,78,12
遵义,52,24,51,0.6,23,93,41,18
